object_id	tracks_path	features_npz	split
refrigerator038	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/refrigerator038/multiview_tracks.json	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/refrigerator038/multiview_features.npz	train
refrigerator039	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/refrigerator039/multiview_tracks.json	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/refrigerator039/multiview_features.npz	train
refrigerator040	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/refrigerator040/multiview_tracks.json	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/refrigerator040/multiview_features.npz	train
refrigerator041	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/refrigerator041/multiview_tracks.json	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/refrigerator041/multiview_features.npz	train
refrigerator042	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/refrigerator042/multiview_tracks.json	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/refrigerator042/multiview_features.npz	train
microwave039	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/microwave039/multiview_tracks.json	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/microwave039/multiview_features.npz	train
microwave040	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/microwave040/multiview_tracks.json	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/microwave040/multiview_features.npz	train
microwave041	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/microwave041/multiview_tracks.json	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/microwave041/multiview_features.npz	train
refrigerator043	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/refrigerator043/multiview_tracks.json	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/refrigerator043/multiview_features.npz	val
microwave043	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/microwave043/multiview_tracks.json	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/microwave043/multiview_features.npz	val
refrigerator044	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/refrigerator044/multiview_tracks.json	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/refrigerator044/multiview_features.npz	test
refrigerator045	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/refrigerator045/multiview_tracks.json	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/refrigerator045/multiview_features.npz	test
microwave044	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/microwave044/multiview_tracks.json	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/microwave044/multiview_features.npz	test
microwave045	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/microwave045/multiview_tracks.json	../outputs/flow_tracking_eval/tapip3d_slot_benchmark/results/microwave045/multiview_features.npz	test
