object_id	tracks_path	features_npz	split
refrigerator038	../outputs/flow_tracking_eval/refrigerators_dense_mps_object_mask/refrigerator038/object_tracks.json	../outputs/flow_tracking_eval/refrigerators_dense_mps_object_mask/learning_features_v1/refrigerator038/cotracker_features.npz	train
refrigerator039	../outputs/flow_tracking_eval/refrigerators_dense_mps_object_mask/refrigerator039/object_tracks.json	../outputs/flow_tracking_eval/refrigerators_dense_mps_object_mask/learning_features_v1/refrigerator039/cotracker_features.npz	train
refrigerator040	../outputs/flow_tracking_eval/refrigerators_dense_mps_object_mask/refrigerator040/object_tracks.json	../outputs/flow_tracking_eval/refrigerators_dense_mps_object_mask/learning_features_v1/refrigerator040/cotracker_features.npz	train
refrigerator041	../outputs/flow_tracking_eval/refrigerators_dense_mps_object_mask/refrigerator041/object_tracks.json	../outputs/flow_tracking_eval/refrigerators_dense_mps_object_mask/learning_features_v1/refrigerator041/cotracker_features.npz	train
refrigerator042	../outputs/flow_tracking_eval/refrigerators_dense_mps_object_mask/refrigerator042/object_tracks.json	../outputs/flow_tracking_eval/refrigerators_dense_mps_object_mask/learning_features_v1/refrigerator042/cotracker_features.npz	train
microwave039	../outputs/flow_tracking_eval/cross_category_slots/microwave039/part_tracks_features.json	../outputs/flow_tracking_eval/cross_category_slots/microwave039/cotracker_features.npz	train
microwave040	../outputs/flow_tracking_eval/cross_category_slots/microwave040/part_tracks_features.json	../outputs/flow_tracking_eval/cross_category_slots/microwave040/cotracker_features.npz	train
microwave041	../outputs/flow_tracking_eval/cross_category_slots/microwave041/part_tracks_features.json	../outputs/flow_tracking_eval/cross_category_slots/microwave041/cotracker_features.npz	train
refrigerator043	../outputs/flow_tracking_eval/refrigerators_dense_mps_object_mask/refrigerator043/object_tracks.json	../outputs/flow_tracking_eval/refrigerators_dense_mps_object_mask/learning_features_v1/refrigerator043/cotracker_features.npz	val
microwave043	../outputs/flow_tracking_eval/cross_category_slots/microwave043/part_tracks_features.json	../outputs/flow_tracking_eval/cross_category_slots/microwave043/cotracker_features.npz	val
refrigerator044	../outputs/flow_tracking_eval/refrigerators_dense_mps_object_mask/refrigerator044/object_tracks.json	../outputs/flow_tracking_eval/refrigerators_dense_mps_object_mask/learning_features_v1/refrigerator044/cotracker_features.npz	test
refrigerator045	../outputs/flow_tracking_eval/refrigerators_dense_mps_object_mask/refrigerator045/object_tracks.json	../outputs/flow_tracking_eval/refrigerators_dense_mps_object_mask/learning_features_v1/refrigerator045/cotracker_features.npz	test
microwave044	../outputs/flow_tracking_eval/cross_category_slots/microwave044/part_tracks_features.json	../outputs/flow_tracking_eval/cross_category_slots/microwave044/cotracker_features.npz	test
microwave045	../outputs/flow_tracking_eval/cross_category_slots/microwave045/part_tracks_features.json	../outputs/flow_tracking_eval/cross_category_slots/microwave045/cotracker_features.npz	test
